City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,whitehorse,60.7161,-135.0538,22.28,43,40,5.66,CA,1724008831
137,kayes,14.0,-11.0,22.81,95,100,2.89,ML,1724008832
138,arar,30.9753,41.0381,36.01,11,0,2.06,SA,1724008833
139,selfoss,63.9331,-20.9971,9.47,59,79,5.2,IS,1724008834
140,westport,41.1415,-73.3579,25.74,93,100,6.17,US,1724008835
141,la colle-sur-loup,43.6875,7.1027,24.04,69,0,3.09,FR,1724008837
142,constitucion,-35.3333,-72.4167,10.99,57,100,3.59,CL,1724008838
143,lorengau,-2.0226,147.2712,27.68,81,100,4.39,PG,1724008839
144,tulsipur,28.131,82.2973,23.71,93,94,1.32,NP,1724008840
145,ixtapa,20.7,-105.2,32.35,62,40,3.09,MX,1724008841
146,uturoa,-16.7333,-151.4333,25.04,80,100,12.08,PF,1724008842
147,morki,56.4303,48.9947,13.94,96,0,0.99,RU,1724008845
148,portland,45.5234,-122.6762,23.95,62,75,7.2,US,1724008846
149,northam,51.0333,-4.2167,17.01,84,80,2.78,GB,1724008847
150,isla mujeres,21.2311,-86.731,32.03,64,6,3.83,MX,1724008848
151,bodaybo,57.8506,114.1933,16.24,81,100,1.33,RU,1724008849
152,aasiaat,68.7098,-52.8699,3.03,86,46,1.7,GL,1724008852
153,piney green,34.716,-77.3202,31.96,63,40,6.69,US,1724008853
154,fale old settlement,-9.3852,-171.2468,27.96,79,4,9.81,TK,1724008854
155,anna regina,7.2644,-58.5077,30.12,62,2,3.97,GY,1724008855
156,college,64.8569,-147.8028,21.16,77,75,2.57,US,1724008856
157,gadzhiyevo,69.2551,33.3362,10.69,79,0,1.1,RU,1724008858
158,minas de marcona,-15.2119,-75.1103,18.73,48,2,6.18,PE,1724008859
159,bezhetsk,57.7851,36.6965,15.47,80,6,2.96,RU,1724008860
160,borogontsy,62.6683,131.1683,12.18,53,100,2.81,RU,1724008861
161,dire dawa,9.5931,41.8661,22.68,65,100,7.99,ET,1724008862
162,saint-joseph,-21.3667,55.6167,20.21,79,37,8.69,RE,1724008863
163,baoqing,46.3317,132.2111,19.4,98,100,3.93,CN,1724008865
164,vorgashor,67.5833,63.95,6.6,90,67,3.29,RU,1724008866
165,goba,7.0167,39.9833,12.14,95,100,1.05,ET,1724008867
166,mili,6.0815,171.735,28.04,79,36,3.81,MH,1724008868
167,piti village,13.4626,144.6933,28.03,89,0,2.06,GU,1724008869
168,alta,69.9689,23.2717,17.59,66,0,6.26,NO,1724008872
169,chibougamau,49.9168,-74.3659,17.79,100,100,3.09,CA,1724008873
170,saint-francois,46.4154,3.9054,15.69,88,100,2.06,FR,1724008874
171,valparaiso,-33.0393,-71.6273,15.63,62,0,3.6,CL,1724008875
172,bethel,41.3712,-73.414,23.18,95,100,2.06,US,1724008638
173,itoman,26.1247,127.6694,28.43,92,75,13.38,JP,1724008879
174,carnarvon,-24.8667,113.6333,18.42,55,100,4.7,AU,1724008880
175,luderitz,-26.6481,15.1594,16.17,58,0,6.72,NA,1724008881
176,guiuan,11.0333,125.7247,29.15,73,100,3.38,PH,1724008882
177,amga,60.8953,131.9608,9.47,69,100,1.55,RU,1724008883
178,akhty,41.4597,47.7312,15.72,73,0,2.9,RU,1724008885
179,peace river,56.2501,-117.286,20.17,63,75,1.54,CA,1724008841
180,longyearbyen,78.2186,15.6401,10.91,87,75,0.0,SJ,1724008887
181,bogale,16.2833,95.4,25.84,91,100,1.29,MM,1724008888
182,port hedland,-20.3167,118.5667,17.03,88,0,3.09,AU,1724008889
183,kuchera,26.9839,73.9719,29.49,68,99,3.59,IN,1724008890
184,hamilton,39.1834,-84.5333,28.29,67,45,1.79,US,1724008702
185,mount pearl,47.5166,-52.7813,26.92,52,75,8.23,CA,1724008893
186,puerto ayora,-0.7393,-90.3518,20.86,86,53,4.47,EC,1724008894
187,caleta olivia,-46.4393,-67.5281,6.72,52,92,5.29,AR,1724008740
188,las tablas,7.7667,-80.2833,29.5,70,100,2.65,PA,1724008896
189,bochum,51.4833,7.2167,20.41,73,100,1.93,DE,1724008898
190,reyes,-14.3167,-67.3833,34.09,46,20,1.54,BO,1724008601
191,weno,7.4515,151.8468,29.19,72,67,2.45,FM,1724008900
192,west bay,19.3667,-81.4167,32.04,66,40,4.12,KY,1724008901
193,greenland,43.0362,-70.8328,22.06,81,100,3.09,US,1724008902
194,anar darah,32.7587,61.654,27.37,29,0,7.42,AF,1724008903
195,hola,51.5377,23.1902,23.29,60,70,0.2,PL,1724008905
196,mirny,62.5353,113.9611,13.52,68,100,1.9,RU,1724008906
197,tateyama,34.9833,139.8667,28.12,89,11,5.08,JP,1724008907
198,ola,59.5833,151.2833,10.02,82,98,0.93,RU,1724008909
199,cordoba,-31.4135,-64.1811,21.9,38,0,3.6,AR,1724008902
200,sakakah,29.9697,40.2064,34.76,16,0,3.59,SA,1724008912
201,ibiapina,-3.9233,-40.8894,30.41,25,100,3.62,BR,1724008913
202,bengkulu,-3.8004,102.2655,24.02,92,41,2.29,ID,1724008914
203,saint-philippe,-21.3585,55.7679,21.44,82,62,8.52,RE,1724008915
204,salinas,36.6777,-121.6555,23.92,72,0,4.63,US,1724008918
205,mishan,45.55,131.8833,20.13,98,100,3.01,CN,1724008919
206,urumqi,43.801,87.6005,19.53,78,75,3.0,CN,1724008920
207,hilo,19.7297,-155.09,26.64,96,100,2.06,US,1724008921
208,karachi,24.9056,67.0822,28.9,79,75,4.12,PK,1724008834
209,tshabong,-26.05,22.45,18.08,20,0,2.55,BW,1724008923
210,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1724008925
211,onguday,50.75,86.15,13.85,70,100,1.0,RU,1724008926
212,pangody,65.85,74.4859,12.57,93,100,0.52,RU,1724008927
213,yuzhno-kurilsk,44.0306,145.8556,15.15,93,28,2.08,RU,1724008928
214,wenchang,30.904,118.4887,25.77,92,100,1.47,CN,1724008929
